,jaar,maand,merk,aantal,cum aantal,datum
511,1967,11,VOLVO,24,1802,1967-11-01
512,1967,12,VOLKSWAGEN,25,2086,1967-12-01
513,1967,12,VOLVO,28,1830,1967-12-01
514,1968,1,BMW,2,111,1968-01-01
515,1968,1,RENAULT,2,243,1968-01-01
516,1968,1,TOYOTA,1,28,1968-01-01
517,1968,1,VOLKSWAGEN,39,2125,1968-01-01
518,1968,1,VOLVO,35,1865,1968-01-01
519,1968,2,BMW,1,112,1968-02-01
520,1968,2,RENAULT,4,247,1968-02-01
521,1968,2,VOLKSWAGEN,57,2182,1968-02-01
522,1968,2,VOLVO,29,1894,1968-02-01
523,1968,3,BMW,2,114,1968-03-01
524,1968,3,RENAULT,6,253,1968-03-01
525,1968,3,VOLKSWAGEN,85,2267,1968-03-01
526,1968,3,VOLVO,61,1955,1968-03-01
527,1968,4,BMW,3,117,1968-04-01
528,1968,4,RENAULT,4,257,1968-04-01
529,1968,4,TOYOTA,1,29,1968-04-01
530,1968,4,VOLKSWAGEN,107,2374,1968-04-01
531,1968,4,VOLVO,42,1997,1968-04-01
532,1968,5,BMW,3,120,1968-05-01
533,1968,5,RENAULT,11,268,1968-05-01
534,1968,5,TOYOTA,1,30,1968-05-01
535,1968,5,VOLKSWAGEN,100,2474,1968-05-01
536,1968,5,VOLVO,40,2037,1968-05-01
537,1968,6,BMW,5,125,1968-06-01
538,1968,6,RENAULT,2,270,1968-06-01
